,line_id,c1,c2,c3,c4,c5,c6,c7,c8,text,cb1,cb2,cb3,cb4,cb5,cb6,cb7,cb8,page_id,filepath,fontsize,spacing_upper,spacing_lower,class
35,r0_026,438,1361,848,1361,848,1391,438,1391,Die Götter mannigfach gethront.,1,1,1221,1,1221,1748,1,1748,1,/home/konle/Dropbox/OCR_lyric_res/polko/0002.xml,30,42,43,Vers
49,r0_027,388,1402,884,1402,884,1434,388,1434,Auch nach uns werden andre Frommen,1,1,1221,1,1221,1748,1,1748,1,/home/konle/Dropbox/OCR_lyric_res/polko/0002.xml,32,43,43,Strophen_start
34,r0_028,438,1445,938,1445,938,1477,438,1477,Dem Herrn noch ?chönern Altar weihn;,1,1,1221,1,1221,1748,1,1748,1,/home/konle/Dropbox/OCR_lyric_res/polko/0002.xml,32,43,39,Vers
40,r0_029,440,1487,851,1487,851,1516,440,1516,"Cs werden neue Leiden kommen,",1,1,1221,1,1221,1748,1,1748,1,/home/konle/Dropbox/OCR_lyric_res/polko/0002.xml,29,39,44,Vers
31,r0_030,439,1528,836,1528,836,1560,439,1560,Und neue Freuden werden ?ein.,1,1,1221,1,1221,1748,1,1748,1,/home/konle/Dropbox/OCR_lyric_res/polko/0002.xml,32,44,0,Vers
69,r0_001,511,152,661,152,661,173,511,173,— -,1,1,1221,1,1221,1748,1,1748,2,/home/konle/Dropbox/OCR_lyric_res/polko/0003.xml,21,0,73,Sonstiges
82,r0_002,329,215,775,215,775,246,329,246,Mich irrt es nicht! Mit Liebesblicke,1,1,1221,1,1221,1748,1,1748,2,/home/konle/Dropbox/OCR_lyric_res/polko/0003.xml,31,73,43,Strophen_start
77,r0_003,380,258,810,258,810,289,380,289,Schau' ich der Zeiten Ringen an:,1,1,1221,1,1221,1748,1,1748,2,/home/konle/Dropbox/OCR_lyric_res/polko/0003.xml,31,43,43,Vers
67,r0_004,381,301,804,301,804,332,381,332,"Es wech?eln Völker und Ge?chicke,",1,1,1221,1,1221,1748,1,1748,2,/home/konle/Dropbox/OCR_lyric_res/polko/0003.xml,31,43,43,Vers
58,r0_005,380,344,858,344,858,375,380,375,Die Men?chheit geht die gleiche Bahn.,1,1,1221,1,1221,1748,1,1748,2,/home/konle/Dropbox/OCR_lyric_res/polko/0003.xml,31,43,43,Vers
56,r0_006,327,387,823,387,823,418,327,418,"Jch weiß, daß nie ein Tag erglommen.",1,1,1221,1,1221,1748,1,1748,2,/home/konle/Dropbox/OCR_lyric_res/polko/0003.xml,31,43,43,Strophen_start
76,r0_007,379,430,832,430,832,461,379,461,Der froh nicht Eine Bru?t gemacht;,1,1,1221,1,1221,1748,1,1748,2,/home/konle/Dropbox/OCR_lyric_res/polko/0003.xml,31,43,43,Vers
60,r0_008,378,473,887,473,887,504,378,504,"Daß nie nach Fro?t ein Lenz gekommen,",1,1,1221,1,1221,1748,1,1748,2,/home/konle/Dropbox/OCR_lyric_res/polko/0003.xml,31,43,42,Vers
83,r0_009,378,516,865,516,865,546,378,546,Der nicht Ein Lied der Welt gebracht.,1,1,1221,1,1221,1748,1,1748,2,/home/konle/Dropbox/OCR_lyric_res/polko/0003.xml,30,42,42,Vers
55,r0_010,326,558,803,558,803,588,326,588,"Jch weiß, daß aus des Bechers Gu??e",1,1,1221,1,1221,1748,1,1748,2,/home/konle/Dropbox/OCR_lyric_res/polko/0003.xml,30,42,42,Strophen_start
63,r0_011,379,600,844,600,844,630,379,630,Ein Schöpfer?treben aufwärts ?chießt;,1,1,1221,1,1221,1748,1,1748,2,/home/konle/Dropbox/OCR_lyric_res/polko/0003.xml,30,42,43,Vers
53,r0_012,378,644,763,644,763,673,378,673,Daß ?ich in ?ußem Frauenku??e,1,1,1221,1,1221,1748,1,1748,2,/home/konle/Dropbox/OCR_lyric_res/polko/0003.xml,29,43,43,Vers
59,r0_013,379,686,859,686,859,716,379,716,Ein milder Born von Kraft er?chließt.,1,1,1221,1,1221,1748,1,1748,2,/home/konle/Dropbox/OCR_lyric_res/polko/0003.xml,30,43,42,Vers
81,r0_014,325,728,763,728,763,758,325,758,"Jch weiß, daß überall der Himmel",1,1,1221,1,1221,1748,1,1748,2,/home/konle/Dropbox/OCR_lyric_res/polko/0003.xml,30,42,43,Strophen_start
62,r0_015,377,771,858,771,858,801,377,801,"Mit Wolken droht, mit Lächeln blaut,",1,1,1221,1,1221,1748,1,1748,2,/home/konle/Dropbox/OCR_lyric_res/polko/0003.xml,30,43,43,Vers
74,r0_016,377,813,888,813,888,844,377,844,Und Nachts zum ern?ten Sterngewimmel,1,1,1221,1,1221,1748,1,1748,2,/home/konle/Dropbox/OCR_lyric_res/polko/0003.xml,31,43,42,Vers
75,r0_017,378,856,813,856,813,886,378,886,Allwärts ein Auge gläubig ?chaut.,1,1,1221,1,1221,1748,1,1748,2,/home/konle/Dropbox/OCR_lyric_res/polko/0003.xml,30,42,43,Vers
79,r0_018,325,897,786,897,786,929,325,929,"So ?chau' ich ewig nur das Gleiche,",1,1,1221,1,1221,1748,1,1748,2,/home/konle/Dropbox/OCR_lyric_res/polko/0003.xml,32,43,43,Strophen_start
72,r0_019,375,942,803,942,803,972,375,972,"Das jede Men?chenbru?t durchzieht,",1,1,1221,1,1221,1748,1,1748,2,/home/konle/Dropbox/OCR_lyric_res/polko/0003.xml,30,43,42,Vers
57,r0_020,375,984,820,984,820,1014,375,1014,"Und Brüder nur, wohin im Reiche",1,1,1221,1,1221,1748,1,1748,2,/home/konle/Dropbox/OCR_lyric_res/polko/0003.xml,30,42,43,Vers
54,r0_021,375,1027,820,1027,820,1057,375,1057,Des Weltenrunds mein Auge ?ieht.,1,1,1221,1,1221,1748,1,1748,2,/home/konle/Dropbox/OCR_lyric_res/polko/0003.xml,30,43,42,Vers
66,r0_022,322,1069,756,1069,756,1099,322,1099,Ein Ring bin ich in großer Kette,1,1,1221,1,1221,1748,1,1748,2,/home/konle/Dropbox/OCR_lyric_res/polko/0003.xml,30,42,43,Strophen_start
68,r0_023,372,1112,786,1112,786,1142,372,1142,"Der Zukunft, der Vergangenheit;",1,1,1221,1,1221,1748,1,1748,2,/home/konle/Dropbox/OCR_lyric_res/polko/0003.xml,30,43,43,Vers
71,r0_024,373,1155,875,1155,875,1185,373,1185,Und durch des Kampfes Brandung rette,1,1,1221,1,1221,1748,1,1748,2,/home/konle/Dropbox/OCR_lyric_res/polko/0003.xml,30,43,42,Vers
73,r0_025,372,1198,811,1198,811,1227,372,1227,Das Kleinod ich der Men?chlichkeit.,1,1,1221,1,1221,1748,1,1748,2,/home/konle/Dropbox/OCR_lyric_res/polko/0003.xml,29,42,157,Gedicht_ende
65,r0_026,505,1348,648,1348,648,1384,505,1384,Heimweh,1,1,1221,1,1221,1748,1,1748,2,/home/konle/Dropbox/OCR_lyric_res/polko/0003.xml,36,157,-125,Überschrift
80,r0_027,782,1238,946,1238,946,1259,782,1259,Goltfried Qinhel.,1,1,1221,1,1221,1748,1,1748,2,/home/konle/Dropbox/OCR_lyric_res/polko/0003.xml,21,-125,181,Autor
64,r0_028,320,1393,788,1393,788,1440,320,1440,Gt durch die junge Seele ?chwinget,1,1,1221,1,1221,1748,1,1748,2,/home/konle/Dropbox/OCR_lyric_res/polko/0003.xml,47,181,42,Gedicht_start
70,r0_029,366,1453,811,1453,811,1482,366,1482,"Ein Ton ?o fremd und ?o bekannt,",1,1,1221,1,1221,1748,1,1748,2,/home/konle/Dropbox/OCR_lyric_res/polko/0003.xml,29,42,44,Vers
61,r0_030,364,1493,882,1493,882,1526,364,1526,"Der Sehn?ucht Alphorn i?t's, das klinget",1,1,1221,1,1221,1748,1,1748,2,/home/konle/Dropbox/OCR_lyric_res/polko/0003.xml,33,44,41,Vers
78,r0_031,363,1537,766,1537,766,1567,363,1567,Aus meiner Jugend Hirtenland.,1,1,1221,1,1221,1748,1,1748,2,/home/konle/Dropbox/OCR_lyric_res/polko/0003.xml,30,41,0,Vers
99,r0_001,565,134,719,134,719,158,565,158,— 6 —,1,1,1221,1,1221,1748,1,1748,3,/home/konle/Dropbox/OCR_lyric_res/polko/0004.xml,24,0,73,Seitenzahl
111,r0_002,399,202,878,202,878,231,399,231,"O dunkler Strom voll wilder Klagen,",1,1,1221,1,1221,1748,1,1748,3,/home/konle/Dropbox/OCR_lyric_res/polko/0004.xml,29,73,43,Strophen_start
107,r0_003,398,244,822,244,822,274,398,274,"O Kranich, der dort fernab fliegt,",1,1,1221,1,1221,1748,1,1748,3,/home/konle/Dropbox/OCR_lyric_res/polko/0004.xml,30,43,43,Vers
97,r0_004,398,287,888,287,888,317,398,317,"Könnt ihr dem müden Wandrer ?agen,",1,1,1221,1,1221,1748,1,1748,3,/home/konle/Dropbox/OCR_lyric_res/polko/0004.xml,30,43,43,Vers
89,r0_005,399,329,798,329,798,360,399,360,Wo ?eine ?chöne Heimath liegt?,1,1,1221,1,1221,1748,1,1748,3,/home/konle/Dropbox/OCR_lyric_res/polko/0004.xml,31,43,42,Vers
87,r0_006,342,372,837,372,837,402,342,402,"Das Heimathland ?o grün und ?onnig,",1,1,1221,1,1221,1748,1,1748,3,/home/konle/Dropbox/OCR_lyric_res/polko/0004.xml,30,42,43,Strophen_start
106,r0_007,398,414,777,414,777,445,398,445,"Wo meine ?chöne Hirtin ?ang,",1,1,1221,1,1221,1748,1,1748,3,/home/konle/Dropbox/OCR_lyric_res/polko/0004.xml,31,43,43,Vers
91,r0_008,399,457,895,457,895,488,399,488,"Wo mir der Born des Lebens wonnig,",1,1,1221,1,1221,1748,1,1748,3,/home/konle/Dropbox/OCR_lyric_res/polko/0004.xml,31,43,42,Vers
112,r0_009,398,500,901,500,901,530,398,530,"Ein Quell aus fri?chem Moo?e, ?prang.",1,1,1221,1,1221,1748,1,1748,3,/home/konle/Dropbox/OCR_lyric_res/polko/0004.xml,30,42,42,Vers
86,r0_010,396,542,815,542,815,572,396,572,"O Land der ?anften Nachtigallen,",1,1,1221,1,1221,1748,1,1748,3,/home/konle/Dropbox/OCR_lyric_res/polko/0004.xml,30,42,43,Strophen_start
93,r0_011,397,586,725,586,725,615,397,615,"Verlornes Jugendparadies,",1,1,1221,1,1221,1748,1,1748,3,/home/konle/Dropbox/OCR_lyric_res/polko/0004.xml,29,43,43,Vers
84,r0_012,396,628,837,628,837,658,396,658,Daß ich aus deinen grünen Hallen,1,1,1221,1,1221,1748,1,1748,3,/home/konle/Dropbox/OCR_lyric_res/polko/0004.xml,30,43,43,Vers
90,r0_013,396,671,841,671,841,701,396,701,Erbarmungslos mich ?elb?t ver?tieß!,1,1,1221,1,1221,1748,1,1748,3,/home/konle/Dropbox/OCR_lyric_res/polko/0004.xml,30,43,42,Vers
110,r0_014,340,712,804,712,804,743,340,743,"Als hätt' ich einen Mord zu tragen,",1,1,1221,1,1221,1748,1,1748,3,/home/konle/Dropbox/OCR_lyric_res/polko/0004.xml,31,42,42,Strophen_start
92,r0_015,393,754,843,754,843,785,393,785,"Jrr' ich umher, verfehmt, verbannt,",1,1,1221,1,1221,1748,1,1748,3,/home/konle/Dropbox/OCR_lyric_res/polko/0004.xml,31,42,43,Vers
104,r0_016,393,798,858,798,858,828,393,828,"Des Kummers Mantel umzu?chlagen,",1,1,1221,1,1221,1748,1,1748,3,/home/konle/Dropbox/OCR_lyric_res/polko/0004.xml,30,43,43,Vers
105,r0_017,395,840,836,840,836,871,395,871,Und ?uch' mein altes Heimathland.,1,1,1221,1,1221,1748,1,1748,3,/home/konle/Dropbox/OCR_lyric_res/polko/0004.xml,31,43,43,Vers
108,r0_018,395,881,859,881,859,914,395,914,"Um?on?t ruft lei?', und lei?er immer",1,1,1221,1,1221,1748,1,1748,3,/home/konle/Dropbox/OCR_lyric_res/polko/0004.xml,33,43,42,Strophen_start
102,r0_019,395,925,833,925,833,956,395,956,Des Alphorns Tönen mich zurück;,1,1,1221,1,1221,1748,1,1748,3,/home/konle/Dropbox/OCR_lyric_res/polko/0004.xml,31,42,42,Vers
88,r0_020,394,967,957,967,957,998,394,998,"Die Welt i?t weit! Jch find' euch nimmer,",1,1,1221,1,1221,1748,1,1748,3,/home/konle/Dropbox/OCR_lyric_res/polko/0004.xml,31,42,42,Vers
85,r0_021,394,1011,791,1011,791,1040,394,1040,"Verlorne Jugend, todtes Glück!",1,1,1221,1,1221,1748,1,1748,3,/home/konle/Dropbox/OCR_lyric_res/polko/0004.xml,29,42,42,Gedicht_ende
96,r0_022,860,1061,1012,1061,1012,1082,860,1082,Alred Mei?ner.,1,1,1221,1,1221,1748,1,1748,3,/home/konle/Dropbox/OCR_lyric_res/polko/0004.xml,21,42,184,Autor
98,r0_023,405,1230,874,1230,874,1266,405,1266,Es i?t dein Segen ohne Maß.,1,1,1221,1,1221,1748,1,1748,3,/home/konle/Dropbox/OCR_lyric_res/polko/0004.xml,36,184,83,Überschrift
101,r0_024,409,1301,797,1301,797,1349,409,1349,0 wenn du eine Stätte ha?t.,1,1,1221,1,1221,1748,1,1748,3,/home/konle/Dropbox/OCR_lyric_res/polko/0004.xml,48,83,42,
103,r0_025,448,1362,898,1362,898,1391,448,1391,"Wohin dein müdes Haupt ?ich legt,",1,1,1221,1,1221,1748,1,1748,3,/home/konle/Dropbox/OCR_lyric_res/polko/0004.xml,29,42,44,
95,r0_026,449,1405,797,1405,797,1435,449,1435,"Wenn eigen eine Seele dir,",1,1,1221,1,1221,1748,1,1748,3,/home/konle/Dropbox/OCR_lyric_res/polko/0004.xml,30,44,42,
109,r0_027,448,1446,913,1446,913,1477,448,1477,"Die dich nach deinem Kummer frägt,",1,1,1221,1,1221,1748,1,1748,3,/home/konle/Dropbox/OCR_lyric_res/polko/0004.xml,31,42,42,
94,r0_028,451,1488,922,1488,922,1519,451,1519,"Und wenn der Gram, der in dir i?t,",1,1,1221,1,1221,1748,1,1748,3,/home/konle/Dropbox/OCR_lyric_res/polko/0004.xml,31,42,49,
100,r0_029,449,1530,935,1530,935,1568,449,1568,"Auch eine andre Bru?t erreicht,",1,1,1221,1,1221,1748,1,1748,3,/home/konle/Dropbox/OCR_lyric_res/polko/0004.xml,38,49,0,
128,r0_001,493,129,644,129,644,151,493,151,— 7 —,1,1,1221,1,1221,1748,1,1748,4,/home/konle/Dropbox/OCR_lyric_res/polko/0005.xml,22,0,75,
140,r0_002,348,195,815,195,815,226,348,226,"Und wenn die Ruh', die dich erfüllt,",1,1,1221,1,1221,1748,1,1748,4,/home/konle/Dropbox/OCR_lyric_res/polko/0005.xml,31,75,43,
136,r0_003,349,238,805,238,805,269,349,269,Auch auf ein ander Herz ?ich neigt:,1,1,1221,1,1221,1748,1,1748,4,/home/konle/Dropbox/OCR_lyric_res/polko/0005.xml,31,43,42,
126,r0_004,298,280,698,280,698,311,298,311,"Wie i?t dein Segen ohne Maß,",1,1,1221,1,1221,1748,1,1748,4,/home/konle/Dropbox/OCR_lyric_res/polko/0005.xml,31,42,44,
118,r0_005,346,324,819,324,819,355,346,355,"Wie bi?t du glücklich dann und reich,",1,1,1221,1,1221,1748,1,1748,4,/home/konle/Dropbox/OCR_lyric_res/polko/0005.xml,31,44,36,
116,r0_006,347,367,789,367,789,391,347,391,O wie kommt alles Gut der Welt,1,1,1221,1,1221,1748,1,1748,4,/home/konle/Dropbox/OCR_lyric_res/polko/0005.xml,24,36,49,
135,r0_007,348,410,778,410,778,440,348,440,Nie deinem goldnen Theile gleich;,1,1,1221,1,1221,1748,1,1748,4,/home/konle/Dropbox/OCR_lyric_res/polko/0005.xml,30,49,44,
120,r0_008,348,452,777,452,777,484,348,484,"Wenn die?es Glück dein eigen i?t,",1,1,1221,1,1221,1748,1,1748,4,/home/konle/Dropbox/OCR_lyric_res/polko/0005.xml,32,44,43,
141,r0_009,347,494,799,494,799,527,347,527,"Bewahr' es als den höch?ten Schatz,",1,1,1221,1,1221,1748,1,1748,4,/home/konle/Dropbox/OCR_lyric_res/polko/0005.xml,33,43,43,
115,r0_010,348,539,759,539,759,570,348,570,Wirf Alles aus dem Herzen fort,1,1,1221,1,1221,1748,1,1748,4,/home/konle/Dropbox/OCR_lyric_res/polko/0005.xml,31,43,44,
122,r0_011,349,582,800,582,800,614,349,614,Und räume nur für ihn den Platz.,1,1,1221,1,1221,1748,1,1748,4,/home/konle/Dropbox/OCR_lyric_res/polko/0005.xml,32,44,36,
113,r0_012,297,625,693,625,693,650,297,650,Denn wäre dein der Erde Gut,1,1,1221,1,1221,1748,1,1748,4,/home/konle/Dropbox/OCR_lyric_res/polko/0005.xml,25,36,45,
119,r0_013,348,668,697,668,697,695,348,695,"Und keine Seele wäre dein,",1,1,1221,1,1221,1748,1,1748,4,/home/konle/Dropbox/OCR_lyric_res/polko/0005.xml,27,45,46,
139,r0_014,347,710,762,710,762,741,347,741,"Wie würde?t du bei allem Gold,",1,1,1221,1,1221,1748,1,1748,4,/home/konle/Dropbox/OCR_lyric_res/polko/0005.xml,31,46,42,
121,r0_015,347,753,802,753,802,783,347,783,Wie arm bei allem Reichthum ?ein!,1,1,1221,1,1221,1748,1,1748,4,/home/konle/Dropbox/OCR_lyric_res/polko/0005.xml,30,42,44,
133,r0_016,347,796,764,796,764,827,347,827,"Wohl mancher ?ehnte ?ich danach,",1,1,1221,1,1221,1748,1,1748,4,/home/konle/Dropbox/OCR_lyric_res/polko/0005.xml,31,44,42,
134,r0_017,347,839,701,839,701,869,347,869,Der eine halbe Welt be?aß:,1,1,1221,1,1221,1748,1,1748,4,/home/konle/Dropbox/OCR_lyric_res/polko/0005.xml,30,42,44,
